'ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Dimensions;Poids;Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s);"Date d'acquisition";Propriétaire;Cadeaux;Emplacement;"Prix d'achat";Gratuit;État;Privé;Protégé;Organisé;Personnalisé;"Figurines peintes";Commentaire;Référence;Référent;"Dernière partie"
87440;"7 Wonders Dice";;2025;basegame;5425016928844;27;;;"2 — 7";30;10+;français;;"7 Wonders Dice";"Jeu de dés";Antiquité,Civilisations,Monuments;"Papier & Crayon,Roll & Write";"Repos Production";"Antoine Bauza";"Agnès Ripoche";2025-12-01;;;;;0;;non;non;non;non;non;;;;
57636;"Buuuut !";;2022;basegame;5414301524816;10,9;;;Solo;30;6+;français;;"Travel Magnetic Games";Casse-tête;Football,Sports;"Défis,Logique,Magnétique,perception visuelle,Réflexion,Solo";"Smart Games";"Raf Peeters";;2023-12-01;;;;;0;;non;non;non;non;non;;;;
